grain_ID,grain_R,grain_asp_small,grain_asp,KDE_radius,KDE_radius frequency,KDE_grainasp,KDE_asp,Volume
12779,6.909882989,0.518936075,1.927019626,,,,,0
12780,13.52879095,0.73037886,1.369152442,,,,,0
12781,8.224405803,0.53659308,1.863609572,,,,,0
12782,24.5924538,0.616797645,1.621277266,,,,,0
12783,4.886025119,0.742685302,1.346465316,,,,,0
12784,26.91012804,0.551490606,1.813267515,,,,,0
12785,14.10473959,0.753166059,1.327728444,,,,,0
12786,4.886025119,0.742685302,1.346465316,,,,,0
12787,17.84124116,0.825339481,1.211622638,,,,,0
12788,14.38406848,0.881961488,1.133836356,,,,,0
12789,39.99383925,0.660245038,1.514589193,,,,,0
12790,18.06287998,0.514192613,1.944796513,,,,,0
12791,29.18011216,0.944862348,1.058355221,,,,,0
12792,31.0304271,0.420552632,2.377823665,,,,,0
12793,59.70821321,0.63652805,1.571022674,,,,,0
12794,19.13259964,0.590519403,1.693424457,,,,,0
